Hd_City,HdMean,HdLowFid,HdHighFid,HdMeanByUS,HdRelByUS,Hd_Lat,Hd_Log
ALHuntsville,2.7,2.4,3,6.4,-0.58,34.69900293,-86.71081457
ALMobile,9.7,8.9,10.5,6.4,0.52,30.65513006,-88.07774509
ALHuntsville,8.9,8,9.8,6.4,0.39,34.72992685,-86.58597093
ALBirmingham,5.1,4.6,5.5,6.4,-0.20,33.49715956,-86.79174407
ALTuscaloosa,7.9,7.1,8.7,6.4,0.23,33.18264915,-87.61981067
ALBirmingham,5.4,4.9,5.9,6.4,-0.16,33.61181177,-86.72142215
ALMobile,9.9,8.7,11.1,6.4,0.55,30.70590955,-88.09232502
ALBirmingham,5.7,5.3,6.1,6.4,-0.11,33.62525752,-86.69986104
ALMobile,4.6,4.1,5.2,6.4,-0.28,30.67984343,-88.09330518
ALTuscaloosa,4.3,4,4.7,6.4,-0.33,33.18876593,-87.54239145
ALBirmingham,11.1,10.3,12,6.4,0.73,33.50940185,-86.8859082
ALBirmingham,9.8,9.1,10.4,6.4,0.53,33.57016467,-86.66643058
ALHoover,5.6,5,6.2,6.4,-0.13,33.41742141,-86.6452579
ALMontgomery,7.2,6.4,8.2,6.4,0.13,32.34098409,-86.27246383
ALMontgomery,9,8.2,9.8,6.4,0.41,32.42693676,-86.28262631
ALHuntsville,7.2,6.3,8.1,6.4,0.13,34.7319277,-86.54104816
ALTuscaloosa,5.2,4.8,5.5,6.4,-0.19,33.1612192,-87.51613652
ALMobile,7.5,6.8,8.2,6.4,0.17,30.60092058,-88.17768076
ALMontgomery,10,9.4,10.6,6.4,0.56,32.39721293,-86.28465131
ALMobile,7.4,6.7,8.2,6.4,0.16,30.62708316,-88.13782976
ALTuscaloosa,5.3,4.7,6.1,6.4,-0.17,33.27016934,-87.51785264
ALMontgomery,5.7,5.2,6.2,6.4,-0.11,32.38174568,-86.28182427
ALBirmingham,6.5,6,7,6.4,0.02,33.5065714,-86.91959101
ALHuntsville,3.6,3.4,3.8,6.4,-0.44,34.75763158,-86.66923008
ALBirmingham,5,4.4,5.7,6.4,-0.22,33.5571951,-86.8777935
ALBirmingham,3.4,3.1,3.6,6.4,-0.47,33.47499418,-86.83354217
ALMobile,11.5,10.3,12.7,6.4,0.80,30.7055497,-88.0663775
ALHoover,6,5.3,6.7,6.4,-0.06,33.43842176,-86.63820025
ALMontgomery,9.2,8.4,10.2,6.4,0.44,32.31768026,-86.30554599
ALMobile,9.9,9.1,10.7,6.4,0.55,30.58797455,-88.09021692
ALMontgomery,1.7,1.6,1.9,6.4,-0.73,32.40676931,-86.24670208
ALBirmingham,2.4,2.1,2.9,6.4,-0.63,33.47388616,-86.81464878
ALMontgomery,7.7,7.2,8.3,6.4,0.20,32.29358924,-86.35321491
ALBirmingham,3.8,3.4,4.3,6.4,-0.41,33.43959752,-86.67359594
ALHuntsville,3.9,3.5,4.2,6.4,-0.39,34.73982021,-86.7028565
ALMobile,6,5.6,6.4,6.4,-0.06,30.66092596,-88.14155015
ALHuntsville,8.8,8,9.5,6.4,0.38,34.78232821,-86.607736
ALTuscaloosa,10,9,10.9,6.4,0.56,33.18501798,-87.59422095
ALMontgomery,8.5,7.9,9,6.4,0.33,32.37431053,-86.27368234
ALBirmingham,9,8.3,9.7,6.4,0.41,33.55415741,-86.71672299
ALHoover,4.2,3.8,4.8,6.4,-0.34,33.34942081,-86.84442787
ALMontgomery,6.7,6,7.3,6.4,0.05,32.30725387,-86.26465783
ALTuscaloosa,4.9,4.6,5.2,6.4,-0.23,33.17634956,-87.53901939
ALHuntsville,8.7,8,9.4,6.4,0.36,34.70551739,-86.61823839
ALBirmingham,8,7.2,8.9,6.4,0.25,33.48594521,-86.86969219
ALHoover,4.5,4.1,4.9,6.4,-0.30,33.37360789,-86.79337503
ALMontgomery,10.3,9.7,10.8,6.4,0.61,32.36846008,-86.33918514
ALTuscaloosa,8.8,7.8,9.8,6.4,0.38,33.2137806,-87.44423234
ALMobile,7.9,7.4,8.6,6.4,0.23,30.64961028,-88.09227024
ALBirmingham,1,1,1,6.4,-0.84,33.58592342,-86.83570072
ALTuscaloosa,8.1,7.4,8.8,6.4,0.27,33.19453946,-87.46527684
ALMobile,1,1,1,6.4,-0.84,30.74941103,-88.07057647
ALMobile,1,1,1,6.4,-0.84,30.83094223,-88.0463571
ALTuscaloosa,6.4,5.9,6.8,6.4,0.00,33.21330012,-87.50771403
ALMontgomery,7.7,6.8,8.6,6.4,0.20,32.38908443,-86.23053103
ALBirmingham,8.2,7.2,9.6,6.4,0.28,33.52009812,-86.72720632
ALHoover,4.2,3.7,4.7,6.4,-0.34,33.35860193,-86.79211659
ALMobile,7.9,7.3,8.4,6.4,0.23,30.73233375,-88.17337926
ALBirmingham,4.2,3.8,4.7,6.4,-0.34,33.52290939,-86.71026186
ALBirmingham,9,8,9.9,6.4,0.41,33.52614973,-86.83514661
ALMontgomery,2.9,2.7,3.1,6.4,-0.55,32.31911833,-86.19499555
ALHuntsville,4.4,4,4.9,6.4,-0.31,34.6739365,-86.47002427
ALMontgomery,6,5.6,6.5,6.4,-0.06,32.35119843,-86.16429574
ALMobile,10.4,9.8,11.1,6.4,0.63,30.69111435,-88.04802225
ALBirmingham,4,3.7,4.4,6.4,-0.38,33.5333416,-86.74795661
ALMobile,5.9,5.4,6.4,6.4,-0.08,30.73492904,-88.20133037
ALBirmingham,10.5,9.5,11.6,6.4,0.64,33.43964436,-86.92487687
ALHuntsville,8.4,7.4,9.4,6.4,0.31,34.65904905,-86.54783685
ALHoover,6.9,6.1,7.8,6.4,0.08,33.40999055,-86.6692094
ALHuntsville,6.5,5.8,7.3,6.4,0.02,34.7097766,-86.55139362
ALHuntsville,6.3,5.6,7.2,6.4,-0.02,34.63506927,-86.52820606
ALMobile,7.6,6.8,8.4,6.4,0.19,30.57616134,-88.14533872
ALMontgomery,4.9,4.4,5.3,6.4,-0.23,32.35265137,-86.29163559
ALMontgomery,10.2,9.2,11.2,6.4,0.59,32.33600853,-86.32305246
ALBirmingham,3.6,3.4,3.8,6.4,-0.44,33.50418576,-86.80337983
ALTuscaloosa,6.6,6,7.2,6.4,0.03,33.20916996,-87.46638059
ALBirmingham,9.6,8.7,10.6,6.4,0.50,33.54424046,-86.77491307
ALMobile,6.2,5.5,6.9,6.4,-0.03,30.69225105,-88.08970475
ALBirmingham,8,7.3,8.7,6.4,0.25,33.59716231,-86.67667364
ALMontgomery,8.5,8,9,6.4,0.33,32.35106217,-86.35969144
ALBirmingham,3.7,3.4,4.1,6.4,-0.42,33.4935824,-86.80092946
ALMobile,7.9,7.4,8.4,6.4,0.23,30.69103782,-88.02666768
ALMontgomery,4.8,4.5,5.2,6.4,-0.25,32.34752326,-86.20852027
ALMobile,6.5,6,7.1,6.4,0.02,30.67797658,-88.060697
ALBirmingham,1,1,1,6.4,-0.84,33.60507426,-86.63167294
ALBirmingham,10.1,9.2,11,6.4,0.58,33.51324989,-86.83004749
ALBirmingham,6.8,6,7.9,6.4,0.06,33.48854935,-86.78084302
ALTuscaloosa,6.4,5.9,6.9,6.4,0.00,33.18083424,-87.49597801
ALHoover,1,1,1,6.4,-0.84,33.46720652,-86.61934333
ALHuntsville,9.3,8.5,10.1,6.4,0.45,34.71653761,-86.62989977
ALBirmingham,7.7,7.3,8.2,6.4,0.20,33.47857078,-86.89000091
ALBirmingham,5.1,4.8,5.5,6.4,-0.20,33.62990175,-86.71943112
ALMobile,7,6.2,7.8,6.4,0.09,30.6914801,-88.25264972
ALBirmingham,11.4,10.1,12.7,6.4,0.78,33.46604181,-86.85672878
ALMontgomery,4.2,3.8,4.5,6.4,-0.34,32.42075357,-86.21879872
ALHuntsville,5,4.6,5.3,6.4,-0.22,34.74159244,-86.63767506
ALMobile,6.3,5.8,6.9,6.4,-0.02,30.68636911,-88.19819486
ALMontgomery,4.7,4.3,5.2,6.4,-0.27,32.32837597,-86.2089537
ALHoover,6.3,5.7,7,6.4,-0.02,33.4073892,-86.72085017
ALBirmingham,3.1,2.9,3.4,6.4,-0.52,33.42265931,-86.85086208
ALMobile,6.8,6.3,7.4,6.4,0.06,30.66664762,-88.11679505
ALBirmingham,5.5,5.1,5.9,6.4,-0.14,33.64749162,-86.70429744
ALHuntsville,10.6,9.9,11.4,6.4,0.66,34.75446961,-86.60285649
ALMobile,5.8,5.3,6.3,6.4,-0.09,30.65028138,-88.18408953
ALMontgomery,13.9,12.5,15.3,6.4,1.17,32.37155556,-86.29158784
ALTuscaloosa,6.3,5.6,7.1,6.4,-0.02,33.24475766,-87.53146436
ALBirmingham,1,1,1,6.4,-0.84,33.54840781,-86.63237735
ALMontgomery,8.3,7.3,9.3,6.4,0.30,32.39413693,-86.25138792
ALMobile,7.8,7.3,8.2,6.4,0.22,30.71566407,-88.19881464
ALMontgomery,10,9.4,10.5,6.4,0.56,32.40440281,-86.31341682
ALMobile,7.6,7.2,8.1,6.4,0.19,30.64429553,-88.1118639
ALHuntsville,1,1,1,6.4,-0.84,34.75495602,-86.72281977
ALHuntsville,1,1,1,6.4,-0.84,34.83772681,-86.6324691
ALMobile,10,9.1,11,6.4,0.56,30.69908407,-88.05888576
ALHoover,3.6,3.3,4,6.4,-0.44,33.39237929,-86.88337551
ALMobile,8.9,8.1,9.8,6.4,0.39,30.65687851,-88.0688374
ALBirmingham,9.7,8.9,10.5,6.4,0.52,33.51712611,-86.89138197
ALHuntsville,13,12.2,13.9,6.4,1.03,34.75076144,-86.58793188
ALMobile,3.6,3.4,3.8,6.4,-0.44,30.66981534,-88.13709822
ALHoover,1.8,1.6,2.1,6.4,-0.72,33.4231254,-86.69639183
ALMobile,12.9,11.9,14,6.4,1.02,30.72007218,-88.10541101
ALMontgomery,6.9,6.3,7.5,6.4,0.08,32.31866831,-86.28943807
ALMobile,12.2,11.1,13.4,6.4,0.91,30.72124742,-88.09376462
ALHoover,8.9,7.6,10.5,6.4,0.39,33.41398238,-86.68875661
ALMontgomery,7.2,6.6,7.8,6.4,0.13,32.40511914,-86.22569299
ALHuntsville,10,9.2,10.8,6.4,0.56,34.73384468,-86.60540155
ALMobile,6.4,5.8,7.1,6.4,0.00,30.7052498,-88.18358555
ALMontgomery,4.6,4.4,4.9,6.4,-0.28,32.29292053,-86.24617469
ALHuntsville,6.9,6.3,7.6,6.4,0.08,34.80497616,-86.61737868
ALMontgomery,13.2,12,14.4,6.4,1.06,32.36213955,-86.32911064
ALTuscaloosa,1,1,1,6.4,-0.84,33.4037171,-87.59501583
ALBirmingham,5.5,4.9,6.3,6.4,-0.14,33.46953581,-86.96831739
ALMobile,9.9,9.3,10.5,6.4,0.55,30.65009859,-88.10009894
ALMobile,9.3,8.6,10,6.4,0.45,30.58958235,-88.07115395
ALHuntsville,7.7,6.9,8.7,6.4,0.20,34.58714954,-86.51417578
ALHuntsville,1,1,1,6.4,-0.84,34.6454285,-86.43528487
ALTuscaloosa,10.6,9.7,11.5,6.4,0.66,33.19266928,-87.55650845
ALBirmingham,6.1,5.7,6.5,6.4,-0.05,33.51251581,-86.85771649
ALMobile,7.1,6.6,7.6,6.4,0.11,30.73214198,-88.13988404
ALHoover,3.2,3,3.4,6.4,-0.50,33.38390166,-86.7952292
ALMobile,7.5,7,8.1,6.4,0.17,30.63090434,-88.07210666
ALHoover,7.5,6.6,8.5,6.4,0.17,33.39401852,-86.81474037
ALHuntsville,1,1,1,6.4,-0.84,34.7976427,-86.67756808
ALMobile,6.7,6.1,7.4,6.4,0.05,30.62277665,-88.17905682
ALHuntsville,7.8,7.2,8.4,6.4,0.22,34.7538634,-86.63450272
ALBirmingham,10.3,9.7,11,6.4,0.61,33.50074394,-86.82707204
ALHuntsville,5.1,4.7,5.6,6.4,-0.20,34.72300644,-86.67784933
ALMontgomery,6.9,6.1,7.7,6.4,0.08,32.37215195,-86.22845883
ALMobile,7,6.5,7.6,6.4,0.09,30.69908958,-88.19966362
ALBirmingham,10.6,9.8,11.5,6.4,0.66,33.56702939,-86.80055672
ALHuntsville,6.4,5.7,7.2,6.4,0.00,34.6560828,-86.52895427
ALBirmingham,8.6,8,9.2,6.4,0.34,33.52787677,-86.86041617
ALMontgomery,9.7,8.7,10.7,6.4,0.52,32.30767429,-86.34355454
ALMontgomery,4.8,4.3,5.2,6.4,-0.25,32.37183842,-86.17078916
ALBirmingham,8.2,7.6,8.9,6.4,0.28,33.53831532,-86.72704454
ALBirmingham,4.8,4.3,5.4,6.4,-0.25,33.50752421,-86.78366758
ALMontgomery,4.9,4.6,5.2,6.4,-0.23,32.361171,-86.28336047
ALBirmingham,1,1,1,6.4,-0.84,33.58048452,-86.6301111
ALHoover,4.8,4.3,5.4,6.4,-0.25,33.43121367,-86.82287824
ALTuscaloosa,7,6.3,7.6,6.4,0.09,33.15862892,-87.53661642
ALMobile,11.4,10.4,12.5,6.4,0.78,30.70728678,-88.1107455
ALBirmingham,4.5,4,5.1,6.4,-0.30,33.51409785,-86.74669714
ALHoover,2,1.9,2.2,6.4,-0.69,33.40451614,-86.78765023
ALMontgomery,5.9,5.5,6.2,6.4,-0.08,32.39334336,-86.19957683
ALBirmingham,2.2,2,2.6,6.4,-0.66,33.46811809,-86.66718882
ALBirmingham,7.1,6.6,7.7,6.4,0.11,33.55213012,-86.72767595
ALHoover,4.5,4,5,6.4,-0.30,33.37339198,-86.85349009
ALHoover,5.9,5.3,6.7,6.4,-0.08,33.40194561,-86.83334933
ALMontgomery,10.1,9.2,11.1,6.4,0.58,32.37201753,-86.30879668
ALBirmingham,4.8,4.5,5.1,6.4,-0.25,33.67188487,-86.67725105
ALTuscaloosa,3.3,3,3.6,6.4,-0.48,33.16508782,-87.56177804
ALHuntsville,8.9,8.2,9.6,6.4,0.39,34.76723497,-86.60219006
ALHoover,3.7,3.3,4.1,6.4,-0.42,33.33917835,-86.88884607
ALMontgomery,10.7,9.7,11.7,6.4,0.67,32.36349242,-86.30812648
ALBirmingham,7.8,7.4,8.3,6.4,0.22,33.49690186,-86.89077294
ALMontgomery,6.6,6,7.3,6.4,0.03,32.31612749,-86.24886755
ALHuntsville,3.4,3.1,3.7,6.4,-0.47,34.63148164,-86.75692264
ALHuntsville,5.6,5,6.3,6.4,-0.13,34.61275559,-86.53295686
ALMobile,11.2,10.1,12.5,6.4,0.75,30.67785042,-88.04885532
ALBirmingham,7.1,6.4,7.9,6.4,0.11,33.57664564,-86.69655903
ALHoover,5.6,5,6.2,6.4,-0.13,33.38462648,-86.76064777
ALMontgomery,8.9,7.9,9.9,6.4,0.39,32.34070932,-86.33540582
ALTuscaloosa,6.2,5.6,6.8,6.4,-0.03,33.15940103,-87.46040835
ALMontgomery,4.5,4,4.9,6.4,-0.30,32.31528184,-86.177661
ALBirmingham,1,1,1,6.4,-0.84,33.63554146,-86.73694669
ALHuntsville,4.9,4.6,5.2,6.4,-0.23,34.81038039,-86.56083867
ALMobile,5,4.6,5.4,6.4,-0.22,30.67637457,-88.22979163
ALBirmingham,8.9,8.1,9.7,6.4,0.39,33.50522292,-86.90148447
ALMobile,7.4,6.8,8,6.4,0.16,30.66920228,-88.16014688
ALTuscaloosa,2.9,2.6,3.3,6.4,-0.55,33.21338305,-87.5571352
ALMontgomery,8.4,7.6,9.3,6.4,0.31,32.39621251,-86.26615545
ALMobile,16.1,14.5,17.8,6.4,1.52,30.70432698,-88.05214377
ALMontgomery,6,5.5,6.6,6.4,-0.06,32.34824166,-86.23289568
ALMontgomery,1,1,1,6.4,-0.84,32.3016375,-86.0902647
ALHuntsville,8.4,7.4,9.5,6.4,0.31,34.65761568,-86.58250084
ALHuntsville,8.7,7.9,9.6,6.4,0.36,34.77415538,-86.54954934
ALMobile,7.8,7.1,8.6,6.4,0.22,30.71425401,-88.18252485
ALMobile,1,1,1,6.4,-0.84,30.5619464,-88.17578565
ALHuntsville,9.2,8.6,9.7,6.4,0.44,34.71784062,-86.60623346
ALBirmingham,8.5,7.9,9.2,6.4,0.33,33.60398846,-86.70081234
ALMobile,6.2,5.7,6.8,6.4,-0.03,30.67184916,-88.1996782
ALTuscaloosa,1,1,1,6.4,-0.84,33.14481133,-87.52931254
ALBirmingham,7.8,7.3,8.3,6.4,0.22,33.57943283,-86.72283239
ALBirmingham,11.1,9.8,12.2,6.4,0.73,33.43637868,-86.91289231
ALHoover,4.6,4,5.3,6.4,-0.28,33.41869377,-86.72213184
ALTuscaloosa,6.5,5.8,7.3,6.4,0.02,33.22714684,-87.54972173
ALBirmingham,4.2,3.8,4.6,6.4,-0.34,33.48666898,-86.81732628
ALHuntsville,5.3,5,5.6,6.4,-0.17,34.68010749,-86.59529738
ALHuntsville,7.6,7,8.2,6.4,0.19,34.77522354,-86.63534591
ALBirmingham,9.9,9.2,10.7,6.4,0.55,33.44880214,-86.88784016
ALBirmingham,8.7,8.1,9.3,6.4,0.36,33.5532051,-86.74298016
ALMontgomery,9.8,8.7,10.9,6.4,0.53,32.31521471,-86.37941627
ALMontgomery,8.1,7.6,8.6,6.4,0.27,32.35405944,-86.39734803
ALHuntsville,1,1,1,6.4,-0.84,34.74577746,-86.77396969
ALBirmingham,10.1,9.2,11,6.4,0.58,33.53729934,-86.80365905
ALBirmingham,6,5.7,6.5,6.4,-0.06,33.655719,-86.70506983
ALBirmingham,11,9.8,12.3,6.4,0.72,33.51225811,-86.84414399
ALMobile,4.9,4.4,5.5,6.4,-0.23,30.69863167,-88.13620017
ALTuscaloosa,7.8,7.1,8.4,6.4,0.22,33.20640553,-87.57736918
ALHuntsville,5.9,5.6,6.2,6.4,-0.08,34.72757497,-86.62865291
ALMobile,3.6,3.3,3.9,6.4,-0.44,30.67662003,-88.21882423
ALBirmingham,3.1,2.9,3.4,6.4,-0.52,33.42446588,-86.88414742
ALHuntsville,9.3,8.4,10.4,6.4,0.45,34.69154075,-86.57508407
ALHuntsville,6.5,6.1,6.9,6.4,0.02,34.69946517,-86.59696238
ALMobile,9.6,8.8,10.4,6.4,0.50,30.54382499,-88.14913936
ALBirmingham,5.4,4.9,6,6.4,-0.16,33.51199027,-86.7694551
ALTuscaloosa,3.7,3.3,4.1,6.4,-0.42,33.32873936,-87.55795155
ALBirmingham,6.6,6,7.2,6.4,0.03,33.61428615,-86.66919964
ALHuntsville,4.2,4,4.5,6.4,-0.34,34.77912474,-86.57330582
ALTuscaloosa,3.8,3.5,4.1,6.4,-0.41,33.21680107,-87.51897296
ALMobile,5.8,5.2,6.4,6.4,-0.09,30.62677464,-88.19895502
ALMobile,12.2,11,13.3,6.4,0.91,30.71284246,-88.0861101
ALBirmingham,6.2,5.7,6.7,6.4,-0.03,33.61594364,-86.65578925
ALBirmingham,5,4.6,5.4,6.4,-0.22,33.55428164,-87.05446914
ALMobile,7.6,7,8.3,6.4,0.19,30.61508871,-88.11661146
ALBirmingham,7.3,6.9,7.8,6.4,0.14,33.52607483,-86.78303155
ALBirmingham,1.8,1.7,2,6.4,-0.72,33.42586612,-86.71381936
ALMobile,7.5,6.8,8.1,6.4,0.17,30.67739454,-88.07349098
ALMontgomery,6,5.5,6.5,6.4,-0.06,32.39392049,-86.16289405
ALTuscaloosa,3.4,3.2,3.7,6.4,-0.47,33.19579303,-87.5354837
ALHoover,3.7,3.2,4.4,6.4,-0.42,33.37149061,-86.81109624
ALHuntsville,8.9,7.7,10.3,6.4,0.39,34.68310423,-86.53406627
ALMobile,7.7,7.1,8.3,6.4,0.20,30.65555967,-88.15305429
ALHoover,5.1,4.6,5.7,6.4,-0.20,33.42239422,-86.82927262
ALHuntsville,6,5.3,6.7,6.4,-0.06,34.74224547,-86.57311809
ALBirmingham,9.4,8.6,10.3,6.4,0.47,33.4953246,-86.85162321
ALMontgomery,12.8,11.9,13.9,6.4,1.00,32.35873301,-86.31778221
ALHuntsville,3.6,3.4,3.9,6.4,-0.44,34.76363745,-86.75002258
ALBirmingham,9.9,9.1,10.8,6.4,0.55,33.52916049,-86.93464764
ALMobile,8.6,8,9.3,6.4,0.34,30.66686558,-88.06339762
ALMobile,11.7,10.7,12.8,6.4,0.83,30.72731679,-88.11316474
ALMontgomery,7.3,6.6,7.9,6.4,0.14,32.3348191,-86.25253073
ALBirmingham,9.8,8.7,10.9,6.4,0.53,33.46986914,-86.8742906
ALMobile,6.4,5.6,7.3,6.4,0.00,30.6845996,-88.15830754
ALHoover,5.5,4.9,6.2,6.4,-0.14,33.34838995,-86.81944703
ALTuscaloosa,5,4.6,5.4,6.4,-0.22,33.15946663,-87.49041697
ALHuntsville,1,1,1,6.4,-0.84,34.67865999,-86.69424823
ALHuntsville,5.8,5.1,6.6,6.4,-0.09,34.71193467,-86.58260696
ALHuntsville,3.8,3.4,4.1,6.4,-0.41,34.7808033,-86.74097179
ALHoover,5.2,4.7,5.8,6.4,-0.19,33.40268739,-86.77094507
ALMobile,0.6,0.6,0.7,6.4,-0.91,30.69516284,-88.18234678
ALHuntsville,6.9,6.1,7.8,6.4,0.08,34.60926246,-86.55538434
ALTuscaloosa,1,1,1,6.4,-0.84,33.18736504,-87.27029745
ALBirmingham,1.8,1.6,1.9,6.4,-0.72,33.44394259,-86.72129369
ALHoover,5.5,4.9,6.2,6.4,-0.14,33.35063232,-86.77406775
ALMontgomery,4.9,4.5,5.3,6.4,-0.23,32.37223205,-86.20091671
ALMobile,8.6,8,9.3,6.4,0.34,30.66909227,-88.09256241
ALHuntsville,9.5,8.8,10.3,6.4,0.48,34.75471876,-86.61942105
ALBirmingham,8.6,7.9,9.3,6.4,0.34,33.54282087,-86.75243398
